title,genres,actors,directors,synopsis,rating
The Accountant²,"Mystery, Crime, Thriller","Ben Affleck, Jon Bernthal, Cynthia Addai-Robinson",Gavin O'Connor,"When an old acquaintance is murdered, Wolff is compelled to solve the case. Realizing more extreme measures are necessary, Wolff recruits his estranged and highly lethal brother, Brax, to help. In partnership with Marybeth Medina, they uncover a deadly conspiracy, becoming targets of a ruthless network of killers who will stop at nothing to keep their secrets buried.",7.2
Homo Argentum,Comedy,"Guillermo Francella, Clara Kovacic, Eva De Dominici","Mariano Cohn, Gastón Duprat","The film consists of 16 shorts that explore, with humor and social criticism, the characteristics of the Argentine identity.",5.0
The Gorge,"Romance, Science Fiction, Thriller","Miles Teller, Anya Taylor-Joy, Sigourney Weaver",Scott Derrickson,"Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.",7.7
Despicable Me 4,"Family, Comedy, Animation, Science Fiction","Steve Carell, Kristen Wiig, Will Ferrell",Chris Renaud,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",7.026
Coolie,"Action, Thriller, Crime","Rajinikanth, Nagarjuna Akkineni, Soubin Shahir",Lokesh Kanagaraj,A mysterious man takes a stand against a corrupt syndicate exploiting and abusing the workers of a port town.,5.7
Sorority,"Drama, Romance","Azi Acosta, Apple Dy, Rinoa Halili",Sigrid Polon,"A tale of seduction and mystery. A fearless pre-law student joins an elite sorority led by a powerful heiress. As secrets unfold, she’s torn between the woman who awakened her desire and a truth that could destroy them both.",6.0
Doble Traición,Thriller,"Litzy Domínguez, David Chocarro, Rodolfo Salas",Héctor Rodríguez,,8.0
Predator: Killer of Killers,"Animation, Action, Science Fiction, Thriller","Lindsay LaVanchy, Louis Ozawa, Rick Gonzalez",Dan Trachtenberg,"While three of the fiercest warriors in human history—a Viking raider, a ninja in feudal Japan, and a WWII pilot—are killers in their own right, they are merely prey for their new opponent: the ultimate killer of killers.",7.919
The Green Dinosaur,"Animation, Family, Adventure, Fantasy, Comedy","Mikołaj Wachowski, Borys Szyc, Małgorzata Kożuchowska",Wojtek Wawszczyk,"When the world around him is mysteriously erased, a little green dinosaur named Diplodocus must travel through the pages of a comic book and adventure through time to bring color back to his land. Alongside a wizard and two scientists, Diplo’s plans go awry as he learns that there may be a dimension to his world that he never considered.",7.2
Clown in a Cornfield,"Horror, Mystery, Thriller","Katie Douglas, Aaron Abrams, Carson MacCormac",Eli Craig,"Quinn and her father have just moved to the quiet town of Kettle Springs hoping for a fresh start. Instead, she discovers a fractured community that has fallen on hard times after the treasured Baypen Corn Syrup Factory burned down. As the locals bicker amongst themselves and tensions boil over, a sinister, grinning figure emerges from the cornfields to cleanse the town of its burdens, one bloody victim at a time.",6.292
Kalakal,"Drama, Romance","Aliya Raymundo, Gold Aceron, Jero Flores",Roman Perez Jr.,"A seductive female garbage collector who embraces the life of an escort lady. Desperate to live a comfortable life, she leaves the dumpsite and enters the club. But can she also dump both her brother and her lover who remind her of her past?",6.6
Queen of Bones,"Mystery, Drama, Thriller, Horror","Julia Butters, Jacob Tremblay, Martin Freeman",Robert Budreau,Twin siblings seek answers about their mother's death and her connection to the supernatural while living on a remote homestead with their father in 1931 Oregon.,8.0
The Girl with the Needle,"Drama, History","Vic Carmen Sonne, Trine Dyrholm, Besir Zeciri",Magnus von Horn,"Struggling to survive in post-WWI Copenhagen, a newly unemployed and pregnant young woman is taken in by a charismatic elder to help run an underground adoption agency. The two form an unexpected bond, until a sudden discovery changes everything.",7.625
Dora and the Search for Sol Dorado,"Adventure, Comedy, Family","Samantha Lorraine, Jacob Rodriguez, Mariana Garzón Toro",Alberto Belli,"Dora, Diego, and their new friends trek through the perilous dangers of the Amazonian jungle in search of the ancient and powerful treasure of Sol Dorado to keep it out of enemy hands.",6.8
The Avengers,"Science Fiction, Action, Adventure","Robert Downey Jr., Chris Evans, Mark Ruffalo",Joss Whedon,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",7.789
The Shadow's Edge,"Action, Crime, Thriller","Jackie Chan, Zhang Zifeng, Tony Leung Ka-fai",Larry Yang,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,7.3
365 Days: This Day,"Romance, Drama","Anna-Maria Sieklucka, Michele Morrone, Simone Susinna","Tomasz Mandes, Barbara Białowąs","Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.",5.9
T.I.M.,"Science Fiction, Thriller, Horror","Eamon Farren, Georgina Campbell, Nathaniel Parker",Spencer Brown,"Prosthetics scientist Abi and her adulterous husband Paul adjust to life outside the city as Abi begins working for high-tech company Integrate, developing a humanoid AI - T.I.M.",5.7
Harry Potter and the Philosopher's Stone,"Adventure, Fantasy","Daniel Radcliffe, Rupert Grint, Emma Watson",Chris Columbus,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",7.902
The Adolescent,Drama,"Simone Signoret, Francis Huster, Laetitia Chauveau",Jeanne Moreau,"In the summer of 1939, 13-year-old Marie goes with her parents to visit her grandparents in a small town near Avignon. Marie discovers her femininity and falls for a young Jewish doctor, but he prefers Eva, Marie's mother.",5.0
Weekend,"Comedy, Drama","Jazmín Stuart, Rafael Spregelburd, Jorge Prado",Agustín Rolandelli,,7.5
The Shawshank Redemption,"Drama, Crime","Tim Robbins, Morgan Freeman, Bob Gunton",Frank Darabont,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",8.712
All in Favor,Drama,"Raúl Fernández de Pablo, Clara Lago, Tito Valverde",Santiago Requejo,"At a downtown Madrid building, an ordinary meeting of neighbors commune to vote on a change of elevator. However, the event escalates into a full-blown conflict after the unexpected announcement that a new, mentally ill tenant will rent an apartment.",6.444
Spider-Man: No Way Home,"Action, Adventure, Science Fiction","Tom Holland, Zendaya, Benedict Cumberbatch",Jon Watts,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",7.9
Fréwaka,Horror,"Clare Monnelly, Bríd Ní Neachtain, Alexandra Bustryzhickaya",Aislinn Clarke,"Care worker Shoo, who is haunted by a personal tragedy, is sent to a remote village to care for an agoraphobic woman, who fears both her neighbours and the Na Sídhe – sinister folkloric entities she believes abducted her decades before.",7.2
Norma: Antara Mertua dan Menantu,"Drama, Romance","Tissa Biani, Wulan Guritno, Yusuf Mahardika",Guntur Soeharjanto,"When a young woman learns of an affair between her mother and her husband, she faces a difficult decision: forgive or seek justice.",7.9
Long Distance,"Science Fiction, Comedy, Action","Anthony Ramos, Naomi Scott, Kristofer Hivju","Will Speck, Josh Gordon","After crash-landing on an alien planet, an asteroid miner must contend with the challenges of his new surroundings, while making his way across the harsh terrain to the only other survivor – a woman who is trapped in her escape pod.",6.473
Venom: The Last Dance,"Action, Science Fiction, Adventure","Tom Hardy, Chiwetel Ejiofor, Juno Temple",Kelly Marcel,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",6.714
Parasite,"Comedy, Thriller, Drama","Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong",Bong Joon Ho,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",8.498
The Ugly Stepsister,"Horror, Comedy, Fantasy, Drama","Lea Myren, Ane Dahl Torp, Thea Sofie Loch Næss",Emilie Blichfeldt,"In a fairy-tale kingdom where beauty is a brutal business, Elvira battles to compete with her incredibly beautiful stepsister, and she will go to any length to catch the prince’s eye.",7.239
Your Fault,"Romance, Drama","Nicole Wallace, Gabriel Guevara, Marta Hazas",Domingo González,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,7.137
Mufasa: The Lion King,"Adventure, Family, Animation","Aaron Pierre, Kelvin Harrison, Jr., Tiffany Boone",Barry Jenkins,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",7.4
Dune: Part Two,"Science Fiction, Adventure","Timothée Chalamet, Zendaya, Rebecca Ferguson",Denis Villeneuve,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",8.137
Snow White,"Family, Fantasy","Rachel Zegler, Gal Gadot, Andrew Burnap",Marc Webb,"Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cruel streak. Princess Snow White flees the castle when the Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young bandit named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom.",4.308
Avengers: Infinity War,"Adventure, Action, Science Fiction","Robert Downey Jr., Chris Evans, Chris Hemsworth","Anthony Russo, Joe Russo","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",8.236
Stolen: Heist of the Century,"Documentary, Crime","Agim De Bruycker, Patrick Peys, Annie Lauwers",Mark Lewis,"Antwerp, 2003. A gang of thieves rob the impenetrable Diamond Center. Who was behind one of the world's biggest heists - and how did they pull it off?",7.563
The Girl Downstairs Extra: Promised Future,"Animation, Comedy, Drama, Romance","Cai Na, Su Shangqing, Qing Liu",Dong Yi,"Freshman Yuan Juntang applied to Minsong University in order to get closer to Zhu Zhu, whom he has had a crush on. At the university, he meets Li Shiya who used to be his idol, and takes a temporary absence from school.",10.0
Game On,"Comedy, Adventure","Marouane Meftah, Gio Latooy, Horace Cohen",Roy Poortmans,"Issam has one dream: to become a pro gamer. When his grades start to fail again, his mother has only one solution: she throws his computer in the trash, and his world collapses. What Issam doesn't know is that at that very moment, the real world is about to collapse as well. Malicious AI has taken over the newly opened arcade and brought the gaming world into the real world. Less than a few hours later, the BIVD (Supernatural Intelligence and Security Service) arrives at his door. Issam, along with the top eight gamers in the world, including his idol, Ripvis, must battle through five real-life game levels to defeat the AI. Will they be able to combine their skills and save the world?",5.0
Alien: Romulus,"Horror, Science Fiction","Cailee Spaeny, David Jonsson, Archie Renaux",Fede Álvarez,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",7.2
Yakuza bayashi,,"Mariko Okada, Koji Tsuruta, Seizaburō Kawazu",Masahiro Makino,Makino Masahiro film starring Okada Mariko,10.0
Fast X,"Action, Crime, Thriller, Adventure, Mystery","Vin Diesel, Michelle Rodriguez, Tyrese Gibson",Louis Leterrier,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",7.034
Kayara,"Animation, Adventure, Family","Naomi Serrano, Nate Begle, Charles Gonzales",Cesar Zelada,"A courageous and athletic teenager, Kayara dreams that she is destined to be the first female to break into the league of Chasquis - the official messengers of the Incan empire. As she learns what it takes to be a Chasqui along with its challenges, she tackles every mission she gets and discovers the ancient stories of her land and her people.",7.603
Hotel Desire,"Drama, Romance","Saralisa Volm, Clemens Schick, Jan-Gregor Kremp",Sergej Moya,"Antonia is a single mother who works as a hotel maid in Berlin. A normal hot summer day takes a dramatic turn when she crosses paths with a particular guest of the hotel, famous blind portrait painter Julius Pass.",6.2
The Substance,"Drama, Horror, Science Fiction","Demi Moore, Margaret Qualley, Dennis Quaid",Coralie Fargeat,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",7.1
Mamá Reinventada,Comedy,"Erika Buenfil, Michelle Renaud, Nicolasa Ortíz Monasterio","Bonnie Cartas, Joaquin Russek","Marina decides to take Patricia, her mother, to live with her, who believes that she should behave like the widow she is now. Living with Marina, he realizes that there are many things to do. Both find a new world to explore.",8.5
The Wild Robot,"Animation, Science Fiction, Family","Lupita Nyong'o, Pedro Pascal, Kit Connor",Chris Sanders,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",8.318
Muromachi Burai,"Action, Drama","Yo Oizumi, Kento Nagao, Wakana Matsumoto",Yu Irie,"Set in war-torn 15th century Kyoto, on the eve of the Onin War, the movie centers on a band of outlaws led by Hyoe (Oizumi) a scoundrel whose lethal sword skills place him at the tip of the spear in a deadly uprising against the corrupt Shogunate and its army, led by former friend-turned-archrival, Doken (Tsutsumi).",9.0
Nobody,"Action, Thriller","Bob Odenkirk, Aleksey Serebryakov, Connie Nielsen",Ilya Naishuller,"Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.",7.916
The Godfather,"Drama, Crime","Marlon Brando, Al Pacino, James Caan",Francis Ford Coppola,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",8.687
The Conjuring: Last Rites,Horror,"Vera Farmiga, Patrick Wilson, Mia Tomlinson",Michael Chaves,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,0.0
Warfare,"War, Action","D'Pharaoh Woon-A-Tai, Will Poulter, Cosmo Jarvis","Ray Mendoza, Alex Garland","A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.",7.119
Freaky Friday,"Family, Fantasy, Comedy","Lindsay Lohan, Jamie Lee Curtis, Harold Gould",Mark Waters,"Mother and daughter bicker over everything -- what Anna wears, whom she likes and what she wants to do when she's older. In turn, Anna detests Tess's fiancé. When a magical fortune cookie switches their personalities, they each get a peek at how the other person feels, thinks and lives.",6.5
My Fault: London,"Romance, Drama","Asha Banks, Matthew Broome, Eve Macklin","Dani Girdwood, Charlotte Fassler","18-year-old Noah moves from America to London, with her mother who's recently fallen in love with William, a wealthy British businessman. Noah meets William’s son, bad-boy Nick, and soon discovers there is an attraction between them neither can avoid. As Noah spends the summer adjusting to her new life, her devastating past will catch up with her while falling in love for the first time.",7.483
The Maze Runner,"Action, Mystery, Science Fiction, Thriller","Dylan O'Brien, Kaya Scodelario, Aml Ameen",Wes Ball,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.",7.192
The Bad Guys,"Family, Comedy, Crime, Adventure, Animation","Sam Rockwell, Marc Maron, Awkwafina",Pierre Perifel,"When the Bad Guys, a crew of criminal animals, are finally caught after years of heists and being the world’s most-wanted villains, Mr. Wolf brokers a deal to save them all from prison.",7.5
The Twisters,"Action, Adventure, Drama","Tiffany, Mark Justice, Kayla Fields",Michael Su,"A deadly patchwork of destructive cyclones is on an apocalyptic path of convergence at a populated Midwest city center. There, the twisters will merge into one mega tornado that threatens to obliterate the cities for hundreds of miles around.",5.813
Iron Man 2,"Adventure, Action, Science Fiction","Robert Downey Jr., Gwyneth Paltrow, Don Cheadle",Jon Favreau,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",6.8
Kung Fu Panda 4,"Animation, Family, Action, Comedy, Adventure, Fantasy","Jack Black, Awkwafina, Viola Davis",Mike Mitchell,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",7.1
Portals,"Horror, Science Fiction","Deanna Russo, Neil Hopkins, Michele Weaver","Liam O'Donnell, Eduardo Sánchez, Gregg Hale, Timo Tjahjanto",A series of worldwide blackouts cause millions of mysterious cosmic anomalies to appear everywhere across the planet. Some people are drawn into them with horrifying consequences.,3.88
The Dark Knight,"Drama, Action, Crime, Thriller","Christian Bale, Heath Ledger, Aaron Eckhart",Christopher Nolan,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",8.522
Couple Exchange,Romance,"Min Jo-ah, Do Hee, Min Do-yoon",Jang Kwon,"Nan-hee, who wants to enjoy her newlywed life, feels something wrong with her husband, Moo-yeong's body. No matter how much she tries to seduce him every night, Moo-yeong is unable to use his strength. One day, Nan-hee's high school classmate Yoo-na moves in next door. Nan-hee begins to heal Moo-yeong through Yoo-na's shocking suggestion.",9.5
Triangle,"Drama, Romance","Mariane Saint, Marlon Marcia, Skye Gonzaga",Jojo Nadela,"Story about a happily married couple visited by an old friend, who ends up stirring the pot by becoming sexually involved with both the husband and the wife.",6.0
Spider-Man: Homecoming,"Action, Adventure, Science Fiction","Tom Holland, Michael Keaton, Robert Downey Jr.",Jon Watts,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",7.33
The Lord of the Rings: The Fellowship of the Ring,"Adventure, Fantasy, Action","Elijah Wood, Ian McKellen, Viggo Mortensen",Peter Jackson,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",8.4
Companion,"Horror, Science Fiction, Thriller","Sophie Thatcher, Jack Quaid, Lukas Gage",Drew Hancock,"During a weekend getaway at a secluded lakeside estate, a group of friends finds themselves entangled in a web of secrets, deception, and advanced technology. As tensions rise and loyalties are tested, they uncover unsettling truths about themselves and the world around them.",7.1
Inception,"Action, Science Fiction, Adventure","Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe",Christopher Nolan,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",8.369
The Conjuring,"Horror, Thriller","Patrick Wilson, Vera Farmiga, Lili Taylor",James Wan,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",7.539
Ask Me What You Want,"Romance, Drama","Gabriela Andrada, Mario Ermito, Celia Freijeiro",Lucía Alemany,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. However, Eric fears his secret may end their affair.",6.2
Crazy Lizard,"Action, Thriller, Horror",Sammy Sum,Cecil Man Ching Cheng,"A young man climbs into the mountains to pick up a meteorite that has fallen there and is killed by something. The ""thing"" descends to the village and begins to eat the inhabitants one by one, terrorizing the entire island.",6.4
Nudus,"Horror, Thriller, Science Fiction","Carla Hernández, Álex Crusa, Sayaka Yokoyama",Gibrán Bazán,"As she awakens from a prolonged coma, a woman is shocked to learn all the details of her life her captors her captors have access to.",7.0
Titanic,"Drama, Romance","Leonardo DiCaprio, Kate Winslet, Billy Zane",James Cameron,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",7.9
Avatar,"Action, Adventure, Fantasy, Science Fiction","Sam Worthington, Zoe Saldaña, Sigourney Weaver",James Cameron,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",7.592
Sexy Oral: Uwakina Kuchibiru,Drama,"Seiko Mihara, Chiaki Kitahara, Kazuyo Ezaki",Isao Hayashi,A woman rejects her clingy female lover and pursues a female co-worker. The spurned lover plots revenge and the co-worker has a kinky secret.,6.0
Flow,"Animation, Adventure, Fantasy, Family",,Gints Zilbalodis,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",8.163
Bella,Horror,"Claudio Rissi, Guillermo Pfening, Marcelo Melingo",María Laura Dariomerlo,,6.667
Flamin' Hot,"Drama, History","Jesse García, Annie Gonzalez, Emilio Rivera",Eva Longoria,"The inspiring true story of Richard Montañez, the Frito Lay janitor who channeled his Mexican American heritage and upbringing to turn the iconic Flamin' Hot Cheetos into a snack that disrupted the food industry and became a global pop culture phenomenon.",7.945
Jurassic World Dominion,"Adventure, Action, Science Fiction","Chris Pratt, Bryce Dallas Howard, Laura Dern",Colin Trevorrow,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history's most fearsome creatures.",6.6
Toy Story 2,"Animation, Comedy, Family","Tom Hanks, Tim Allen, Joan Cusack",John Lasseter,"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.",7.602
Death of a Unicorn,"Horror, Fantasy, Comedy","Paul Rudd, Jenna Ortega, Will Poulter",Alex Scharfman,"A father and daughter accidentally hit and kill a unicorn while en route to a weekend retreat, where his billionaire boss seeks to exploit the creature’s miraculous curative properties.",6.519
Fantastic Four,"Action, Fantasy, Science Fiction","Ioan Gruffudd, Jessica Alba, Chris Evans",Tim Story,"During a space voyage, four scientists are altered by cosmic rays: Reed Richards gains the ability to stretch his body; Sue Storm can become invisible; Johnny Storm controls fire; and Ben Grimm is turned into a super-strong … thing. Together, these ""Fantastic Four"" must now thwart the evil plans of Dr. Doom and save the world from certain destruction.",5.798
Gladiator II,"Action, Adventure, Drama","Paul Mescal, Denzel Washington, Pedro Pascal",Ridley Scott,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",6.677
Anora,"Drama, Comedy, Romance","Mikey Madison, Mark Eydelshteyn, Yura Borisov",Sean Baker,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",7.05
Zootopia,"Animation, Adventure, Family, Comedy","Ginnifer Goodwin, Jason Bateman, Idris Elba","Byron Howard, Rich Moore","Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",7.8
Van Gogh by Vincent,Documentary,"Zahra Ahmadi, Jack Etchells, Adam Woolley",Richard Shaw,"In a career that lasted only ten years, Vincent Van Gogh painted one subject more than any other: himself. This is the story of Vincent told using eight of his most iconic self-portraits.",6.2
Avatar: The Way of Water,"Science Fiction, Adventure, Action","Sam Worthington, Zoe Saldaña, Sigourney Weaver",James Cameron,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",7.612
Wonder Woman,"Action, Adventure, Fantasy","Gal Gadot, Chris Pine, Connie Nielsen",Patty Jenkins,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,7.215
Wonder Woman,"Action, Adventure, Fantasy","Gal Gadot, Chris Pine, Connie Nielsen",Patty Jenkins,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,7.215
Oppenheimer,"Drama, History","Cillian Murphy, Emily Blunt, Matt Damon",Christopher Nolan,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,8.1
Mononoke the Movie: Chapter II - The Ashes of Rage,"Animation, Fantasy, Mystery","Hiroshi Kamiya, Cho, Daisuke Hosomi","Kenji Nakamura, Kiyotaka Suzuki","The Medicine Seller returns as the Edo harem faces a new crisis, with family feuds, inner turmoil and fiery envy igniting the birth of a raging spirit.",7.75
SuperKlaus,"Animation, Comedy, Family, Adventure","Harland Williams, Colm Feore, Millie Davis",Steve Majaury,"Santa Claus's wish comes true when he accidentally bumps his head and starts believing he's SuperKlaus. With the help of Billie and Leo his elf-xecutive assistant, SuperKlaus will take on a toy-obsessed businessman to save Christmas.",6.0
Z-O-M-B-I-E-S 4: Dawn of the Vampires,"Music, Adventure, Romance, Comedy, Family","Meg Donnelly, Milo Manheim, Chandler Kinney",Paul Hoen,"A new adventure dawns for Zed and Addison when their summer road trip takes an unexpected detour, landing them in the middle of yet another monster rivalry: Daywalkers vs. Vampires. Tensions flare when Zed and Addison find themselves acting as camp counselors between the two opposing supernatural factions. With the help of Eliza and Willa, they must convince sworn enemies Nova and Victor to try to unite their warring worlds before an even greater threat endangers them all.",7.134
Bang,"Action, Thriller","Jack Kesy, Peter Weller, Tristin Mays",Wych Kaosayananda,"Follows a ruthless hitman who, after narrowly escaping a fatal attempt on his life, betrays his gang in an effort to find forgiveness but ends up becoming a target himself.",8.0
The Occupant,"Science Fiction, Drama, Thriller","Ella Balinska, Rob Delaney, Vanessa Ifediora",Hugo Keijzer,"Desperate to save her sister, Abby takes a dangerous job in the remote Georgian wilderness. Stranded in the mountains after her helicopter crashes, she finds hope through John, a mysterious helper radioing from nearby. As he guides her through the harsh conditions, Abby struggles to survive, and her grip on reality falters until she is faced with an impossible choice.",6.406
Fib the Truth,"Drama, Thriller","Darya Melnikova, Evgeny Romantsov, Pavel Priluchnyy",Olga Akatyeva,"A couple in love spends time away from civilization. The sudden arrival of the younger sister first, and then the girl's ex-boyfriend, violate the country idyll. Each of the heroes has his own plan for this weekend, and together they become hostages of the situation and participants in cruel psychological games. Falling in love gives way to passion, and innocent flirting causes jealousy and can lead to mortal danger.",5.76
